name_english,name_indonesian,sex,total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 to 110
West Nusa Tenggara,Nusa Tenggara Barat,all,5320092,506146,515888,449950,439191,448401,442640,440211,415326,386029,337977,277759,223715,167432,121055,74209,43912,21143,7318,1588,202
East Nusa Tenggara,Nusa Tenggara Timur,all,5325566,555366,532731,493322,478060,484704,453479,403308,364128,328113,289611,251052,210524,168837,127650,89442,55172,27632,9918,2226,291
Papua,Papua,all,4303707,411808,410930,335301,344408,401662,404217,394375,363757,323740,274557,217343,165799,111129,70336,41206,21188,8807,2613,480,51
West Papua,Papua Barat,all,1134068,99676,94680,105159,108012,112101,108786,103581,93589,81181,67894,52795,40603,28769,19338,10463,4972,1868,508,81,12
Riau,Riau,all,6394087,610635,602744,575157,565145,565687,551096,537518,503503,468069,406768,330436,259701,184313,123770,56211,31796,14982,5222,1177,157
West Sulawesi,Sulawesi Barat,all,1419229,138394,133862,137877,134993,131727,123530,112460,102446,93642,81367,67285,54037,39790,28891,19448,11531,5562,1920,416,51
South Sulawesi,Sulawesi Selatan,all,9073509,728711,708212,812878,818568,801807,766524,716697,671502,635387,571716,498995,416639,323789,243463,167387,106638,56342,21928,5502,824
Central Sulawesi,Sulawesi Tengah,all,2985734,276046,269508,263374,260957,264843,255605,241521,225447,210810,186479,157828,128338,96051,68745,41690,23145,10842,3644,766,95
Southeast Sulawesi,Sulawesi Tenggara,all,2624875,253580,248070,249336,244659,241145,228631,212512,194311,176340,152760,125651,100825,74975,53870,34794,19970,9417,3232,706,91
North Sulawesi,Sulawesi Utara,all,2621923,198997,206189,203200,205674,212718,209173,200334,193787,190870,177874,163338,140107,112735,83981,58543,36471,18814,7128,1737,253
West Barat,Sumatera Barat,all,5534472,456701,458602,491656,491186,484119,462142,430857,401841,375295,340106,303511,259405,214146,160379,98709,59592,30949,11885,2952,439
South Sumatra,Sumatera Selatan,all,8467432,771284,776895,710807,700306,713086,703568,697287,659486,615326,544584,458578,375333,289205,208246,124071,68725,34388,12753,3064,440
North Sumatra,Sumatera Utara,all,14799361,1380042,1359027,1331990,1312750,1316532,1259943,1178971,1092108,1007434,895191,773084,640326,501379,360100,206305,106162,53000,19625,4716,676
Aceh,Aceh,female,2627308,239742,237231,235033,231662,229461,222144,215167,200085,183034,159914,132582,107805,82287,60718,42109,26805,14240,5625,1444,220
Bali,Bali,female,2146299,145161,146966,158291,161942,163861,164227,163553,162813,166268,156519,143233,122849,97201,74928,52585,35028,19735,8402,2343,394
